127.0.0.1 - - [01/Aug/2023:00:10:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:10:47 +0530] "GET /MyProject1/ HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:10:47 +0530] "GET /MyProject1/css/style.css HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:10:47 +0530] "GET /MyProject1/images/slid.jpg HTTP/1.1" 200 314976
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:10:47 +0530] "GET /MyProject1/images/vnm.gif HTTP/1.1" 200 23047
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:10:56 +0530] "GET /MyProject1/registration.jsp HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:11:26 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:11:41 +0530] "GET /MyProject1/login.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:11:55 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:11:55 +0530] "GET /MyProject1/images/logo.png HTTP/1.1" 200 19565
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:12:52 +0530] "GET /MyProject1/createPaper.jsp HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:13:22 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:13:31 +0530] "GET /MyProject1/addQuestion.jsp HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:10 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:15 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:19 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:20 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:32 +0530] "GET /MyProject1/ HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:44 +0530] "GET /MyProject1/registration.jsp HTTP/1.1" 200 2586
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:45 +0530] "GET /MyProject1/login.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:14:57 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:15:03 +0530] "GET /MyProject1/createPaper.jsp HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:15:30 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:15:40 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 2553
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:15:50 +0530] "POST /MyProject1/UserController HTTP/1.1" 500 1184
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:16:12 +0530] "POST /MyProject1/UserController HTTP/1.1" 500 1184
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:16:18 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:16:28 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:16:32 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:17:06 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:23 +0530] "GET /MyProject1/ HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:28 +0530] "GET /MyProject1/login.jsp HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:42 +0530] "POST /MyProject1/UserController HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:47 +0530] "GET /MyProject1/createPaper.jsp HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:52 +0530] "GET /MyProject1/addQuestion.jsp HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:55 +0530] "GET /MyProject1/showQuestion.jsp HTTP/1.1" 200 3849
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:21:57 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Aug/2023:00:22:06 +0530] "GET /MyProject1/set_question_type.jsp HTTP/1.1" 404 751
